Таблицы в csv формате:

Schema;Table;Table Comment;;
utm;ReportImported;Отчет об импорте;;
utm;ReportProduced;Отчет о производстве;;
egais_or_nn2;wrh_WayBill;Информация о транспортных накладных;;
egais_or_cheque;buffer_production_chq_btl;Данные по продажам/возвратам алкогольной продукции;;
nsi;ADDR_COUNTRY;Справочник стран;;
nsi;ADDR_REGION;Справочник регионов РФ;;
nsi;Clients;Справочник организаций;;
nsi;NSI_Clients;Справочник организаций;;
nsi;NSI_Products;Справочник алкогольной продукции;;
nsi;Product_PackagingType;Справочник типов упаковки;;
nsi;Product_Vid2021;Справочник видов продукции;;
nsi;Product_Vid2025;Справочник видов продукции;;
nsi;Product_Vid_vinodel;Справочник видов продукции;;


Колонки в csv формате:

Schema;Table;Column;Type;Column Comment;Внешний ключ
utm;ReportImported;PosId;int;Уникальный идентификатор позиции (строки) в таблице.;
utm;ReportImported;iid;int;Внутренний идентификатор записи (не обязательно уникальный).;
utm;ReportImported;ChangeDate;timestamp(3);Дата и время изменения записи.;
utm;ReportImported;DocId;varchar(50);Внутренний идентификатор документа импорта.;
utm;ReportImported;OwnerId;varchar(50);Идентификатор владельца продукции.;nsi.Clients/OwnerId
utm;ReportImported;DocNumber;varchar(100);Номер документа импорта.;
utm;ReportImported;DocDate;date;Дата документа импорта.;
utm;ReportImported;ImportedDate;date;Дата фактического ввоза продукции.;
utm;ReportImported;ImporterOwnerid;varchar(50);Идентификатор импортера.;nsi.Clients/OwnerId
utm;ReportImported;SupplierOwnerid;varchar(50);Идентификатор поставщика.;nsi.Clients/OwnerId
utm;ReportImported;GTDNUMBER;varchar(100);Номер грузовой таможенной декларации (GTD).;
utm;ReportImported;GTDDate;date;Дата грузовой таможенной декларации.;
utm;ReportImported;ContractNUMBER;varchar(100);Номер контракта на поставку.;
utm;ReportImported;ContractDate;date;Дата контракта.;
utm;ReportImported;Country_Code;varchar(3);Код страны происхождения.;nsi.ADDR_COUNTRY/country_code
utm;ReportImported;wbid;varchar(50);Идентификатор склада/места хранения.;
utm;ReportImported;Alc_Code;int;Код алкогольной продукции.;
utm;ReportImported;Quantity;numeric(18,4);Количество продукции (в литрах или штуках).;
utm;ReportImported;Party;varchar(100);Партия продукции (серийный номер партии).;
utm;ReportImported;F1RegId;varchar(50);Регистрационный номер формы Ф1 (для учета алкоголя).;
utm;ReportImported;AlcPercent;numeric(18,3);Процент алкоголя в продукции (как указано в документах).;
utm;ReportImported;INN;varchar(12);ИНН компании (налоговый идентификатор).;nsi.Clients/INN
utm;ReportImported;KPP;varchar(9);КПП компании (код причины постановки на учет).;
utm;ReportImported;Region_Code;varchar(2);Код региона (место регистрации или поставки).;nsi.ADDR_REGION/Region_Code
utm;ReportImported;ProductType_Code;varchar(3);Тип продукции (например, вино, водка, пиво).;
utm;ReportImported;ProductVid_Code;varchar(10);Вид продукции (уточнение типа).;nsi.Product_Vid2025/CodeVid_egais
utm;ReportImported;isUnpacked;boolean;Признак того, что продукция не расфасована.;
utm;ReportImported;Capacity;numeric(18,4);Ёмкость единицы продукции (литры).;
utm;ReportImported;AlcPerc;numeric(18,3);Алкогольная крепость продукции (повторно для контроля).;
utm;ReportImported;UNFSM_FLAG;boolean;Флаг, связанный с ЕГАИС/учетом (например, уникальный номер ФСМ).;
utm;ReportImported;BONDEDWAREHOUSE;varchar(50);Идентификатор склада временного хранения (бонди).;
utm;ReportProduced;PosId;int;Уникальный идентификатор позиции (строки) в таблице.;
utm;ReportProduced;iid;int;Внутренний идентификатор записи (не обязательно уникальный).;
utm;ReportProduced;ChangeDate;timestamp(3);Дата и время изменения записи.;
utm;ReportProduced;DocId;varchar(50);Идентификатор производственного документа.;
utm;ReportProduced;OperationType;varchar(50);Тип операции (например, производство, переработка).;
utm;ReportProduced;OwnerId;varchar(50);Идентификатор владельца продукции.;nsi.Clients/OwnerId
utm;ReportProduced;DocNumber;varchar(100);Номер документа производства.;
utm;ReportProduced;DocDate;date;Дата документа производства.;
utm;ReportProduced;ProducedDate;date;Дата фактического производства.;
utm;ReportProduced;wbid;varchar(50);Идентификатор склада/места хранения.;
utm;ReportProduced;Alc_Code;int;Код алкогольной продукции.;
utm;ReportProduced;Quantity;numeric(18,4);Количество произведенной продукции.;
utm;ReportProduced;AlcPercent;numeric(18,3);Процент алкоголя в произведенной продукции.;
utm;ReportProduced;INN;varchar(12);ИНН предприятия.;nsi.Clients/INN
utm;ReportProduced;KPP;varchar(9);КПП предприятия.;
utm;ReportProduced;Region_Code;varchar(2);Код региона.;nsi.ADDR_REGION/Region_Code
utm;ReportProduced;ProductType_Code;varchar(5);Тип продукции (например, вино, водка, пиво).;
utm;ReportProduced;ProductVid_Code;varchar(10);Вид продукции (уточнение типа).;nsi.Product_Vid2025/CodeVid_egais
utm;ReportProduced;isUnpacked;boolean;Признак того, что продукция не расфасована.;
utm;ReportProduced;Capacity;numeric(18,4);Ёмкость единицы продукции.;
utm;ReportProduced;AlcPerc;numeric(18,3);Алкогольная крепость продукции.;
utm;ReportProduced;PosIdentity;varchar(50);Дополнительный идентификатор позиции (для связи с другими таблицами).;
egais_or_nn2;wrh_WayBill;wbid;varchar(50);Уникальный идентификатор транспортной накладной (ТТН).;nsi.wrh_WayBillPos/wbid
egais_or_nn2;wrh_WayBill;iid;int;Внутренний идентификатор записи.;
egais_or_nn2;wrh_WayBill;Client_id;varchar(50);Идентификатор клиента, инициировавшего создание накладной.;
egais_or_nn2;wrh_WayBill;Number;varchar(200);Номер транспортной накладной.;
egais_or_nn2;wrh_WayBill;Date;date;Дата оформления транспортной накладной.;
egais_or_nn2;wrh_WayBill;Type;varchar(50);Тип документа (например, отгрузка, возврат и т.д.).;
egais_or_nn2;wrh_WayBill;Shipper;varchar(50);Идентификатор отправителя (грузоотправителя).;nsi.Clients/OwnerId
egais_or_nn2;wrh_WayBill;Consignee;varchar(50);Идентификатор получателя (грузополучателя).;nsi.Clients/OwnerId
egais_or_nn2;wrh_WayBill;imported_id;int;Идентификатор исходного импортированного документа (связь с другими таблицами).;
egais_or_nn2;wrh_WayBill;ShippingDate;date;Дата отгрузки продукции.;
egais_or_nn2;wrh_WayBill;InsertDate;timestamp(3);Дата и время вставки записи в базу данных (используется для партиционирования).;
egais_or_nn2;wrh_WayBill;TRAN_COMPANY;varchar(510);Наименование транспортной компании.;
egais_or_nn2;wrh_WayBill;TRAN_LOADPOINT;varchar(4000);Место погрузки груза.;
egais_or_nn2;wrh_WayBill;TRAN_UNLOADPOINT;varchar(4000);Место выгрузки груза.;
